Region,Type,Performance Tier,Storage Account Type,Access Tier,Redundancy,Capacity TB,Reservation,Write Operation,List and Create Ops,Read Ops,Data Retrieval, Monthly Cost 
East US 2,Block Blob Storage,Standard,General Purpose V1,Cool,RA-GRS,400,0,1000000,1000000,1000000,1000,10301
East US 2,Block Blob Storage,Standard,General Purpose V1,Cool,RA-GRS,800,0,1000000,1000000,1000000,1000,20541
East US 2,Block Blob Storage,Standard,General Purpose V1,Cool,GZRS,50,0,1000000,1000000,1000000,1000,1194
East US 2,Block Blob Storage,Standard,General Purpose V1,Cool,GZRS,100,0,1000000,1000000,1000000,1000,2346
East US 2,Block Blob Storage,Standard,General Purpose V1,Cool,GZRS,200,0,1000000,1000000,1000000,1000,4650
East US 2,Block Blob Storage,Standard,General Purpose V1,Cool,GZRS,400,0,1000000,1000000,1000000,1000,9258
East US 2,Block Blob Storage,Standard,General Purpose V1,Cool,GZRS,800,0,1000000,1000000,1000000,1000,18474
East US 2,Block Blob Storage,Standard,General Purpose V1,Cool,RA-GZRS,50,0,1000000,1000000,1000000,1000,1482
East US 2,Block Blob Storage,Standard,General Purpose V1,Cool,RA-GZRS,100,0,1000000,1000000,1000000,1000,2922
East US 2,Block Blob Storage,Standard,General Purpose V1,Cool,RA-GZRS,200,0,1000000,1000000,1000000,1000,5802
East US 2,Block Blob Storage,Standard,General Purpose V1,Cool,RA-GZRS,400,0,1000000,1000000,1000000,1000,11562
East US 2,Block Blob Storage,Standard,General Purpose V1,Cool,RA-GZRS,800,0,1000000,1000000,1000000,1000,23082
East US 2,Block Blob Storage,Standard,General Purpose V1,Archive,LRS,50,0,1000000,1000000,1000000,1000,1237
East US 2,Block Blob Storage,Standard,General Purpose V1,Archive,LRS,100,0,1000000,1000000,1000000,1000,1339
East US 2,Block Blob Storage,Standard,General Purpose V1,Archive,LRS,200,0,1000000,1000000,1000000,1000,1544
East US 2,Block Blob Storage,Standard,General Purpose V1,Archive,LRS,400,0,1000000,1000000,1000000,1000,1954
East US 2,Block Blob Storage,Standard,General Purpose V1,Archive,LRS,800,0,1000000,1000000,1000000,1000,2773
East US 2,Block Blob Storage,Standard,General Purpose V1,Archive,GRS,50,0,1000000,1000000,1000000,1000,1374
East US 2,Block Blob Storage,Standard,General Purpose V1,Archive,GRS,100,0,1000000,1000000,1000000,1000,1579
East US 2,Block Blob Storage,Standard,General Purpose V1,Archive,GRS,200,0,1000000,1000000,1000000,1000,1989
East US 2,Block Blob Storage,Standard,General Purpose V1,Archive,GRS,400,0,1000000,1000000,1000000,1000,2808
East US 2,Block Blob Storage,Standard,General Purpose V1,Archive,GRS,800,0,1000000,1000000,1000000,1000,4446
East US 2,Block Blob Storage,Standard,General Purpose V1,Archive,RA-GRS,50,0,1000000,1000000,1000000,1000,1374
East US 2,Block Blob Storage,Standard,General Purpose V1,Archive,RA-GRS,100,0,1000000,1000000,1000000,1000,1579
East US 2,Block Blob Storage,Standard,General Purpose V1,Archive,RA-GRS,200,0,1000000,1000000,1000000,1000,1989
East US 2,Block Blob Storage,Standard,General Purpose V1,Archive,RA-GRS,400,0,1000000,1000000,1000000,1000,2808
East US 2,Block Blob Storage,Standard,General Purpose V1,Archive,RA-GRS,800,0,1000000,1000000,1000000,1000,4446
