Germany,,/subscriptions/00000000-0000-2222-0000-000000000000/locations/germany,,,germany,,,Other,Germany,Logical,00000000-0000-2222-0000-000000000000
Germany North,Europe,/subscriptions/00000000-0000-2222-0000-000000000000/locations/germanynorth,53.073635,8.806422,germanynorth,germanywestcentral,Berlin,Other,(Europe) Germany North,Physical,00000000-0000-2222-0000-000000000000
Germany West Central,Europe,/subscriptions/00000000-0000-2222-0000-000000000000/locations/germanywestcentral,50.110924,8.682127,germanywestcentral,germanynorth,Frankfurt,Recommended,(Europe) Germany West Central,Physical,00000000-0000-2222-0000-000000000000
Global,,/subscriptions/00000000-0000-2222-0000-000000000000/locations/global,,,global,,,Other,Global,Logical,00000000-0000-2222-0000-000000000000
India,,/subscriptions/00000000-0000-2222-0000-000000000000/locations/india,,,india,,,Other,India,Logical,00000000-0000-2222-0000-000000000000
Japan,,/subscriptions/00000000-0000-2222-0000-000000000000/locations/japan,,,japan,,,Other,Japan,Logical,00000000-0000-2222-0000-000000000000
Japan East,Asia Pacific,/subscriptions/00000000-0000-2222-0000-000000000000/locations/japaneast,35.68,139.77,japaneast,japanwest,Tokyo Saitama,Recommended,(Asia Pacific) Japan East,Physical,00000000-0000-2222-0000-000000000000
Japan West,Asia Pacific,/subscriptions/00000000-0000-2222-0000-000000000000/locations/japanwest,34.6939,135.5022,japanwest,japaneast,Osaka,Other,(Asia Pacific) Japan West,Physical,00000000-0000-2222-0000-000000000000
Jio India Central,Asia Pacific,/subscriptions/00000000-0000-2222-0000-000000000000/locations/jioindiacentral,21.146633,79.08886,jioindiacentral,jioindiawest,Nagpur,Other,(Asia Pacific) Jio India Central,Physical,00000000-0000-2222-0000-000000000000
Jio India West,Asia Pacific,/subscriptions/00000000-0000-2222-0000-000000000000/locations/jioindiawest,22.470701,70.05773,jioindiawest,jioindiacentral,Jamnagar,Recommended,(Asia Pacific) Jio India West,Physical,00000000-0000-2222-0000-000000000000
Korea,,/subscriptions/00000000-0000-2222-0000-000000000000/locations/korea,,,korea,,,Other,Korea,Logical,00000000-0000-2222-0000-000000000000
Korea Central,Asia Pacific,/subscriptions/00000000-0000-2222-0000-000000000000/locations/koreacentral,37.5665,126.978,koreacentral,koreasouth,Seoul,Recommended,(Asia Pacific) Korea Central,Physical,00000000-0000-2222-0000-000000000000
Korea South,Asia Pacific,/subscriptions/00000000-0000-2222-0000-000000000000/locations/koreasouth,35.1796,129.0756,koreasouth,koreacentral,Busan,Other,(Asia Pacific) Korea South,Physical,00000000-0000-2222-0000-000000000000
North Central US,US,/subscriptions/00000000-0000-2222-0000-000000000000/locations/northcentralus,41.8819,-87.6278,northcentralus,southcentralus,Illinois,Recommended,(US) North Central US,Physical,00000000-0000-2222-0000-000000000000
North Central US (Stage),US,/subscriptions/00000000-0000-2222-0000-000000000000/locations/northcentralusstage,,,northcentralusstage,,,Other,(US) North Central US (Stage),Logical,00000000-0000-2222-0000-000000000000
North Europe,Europe,/subscriptions/00000000-0000-2222-0000-000000000000/locations/northeurope,53.3478,-6.2597,northeurope,westeurope,Ireland,Recommended,(Europe) North Europe,Physical,00000000-0000-2222-0000-000000000000
Norway,,/subscriptions/00000000-0000-2222-0000-000000000000/locations/norway,,,norway,,,Other,Norway,Logical,00000000-0000-2222-0000-000000000000
Norway East,Europe,/subscriptions/00000000-0000-2222-0000-000000000000/locations/norwayeast,59.913868,10.752245,norwayeast,norwaywest,Norway,Recommended,(Europe) Norway East,Physical,00000000-0000-2222-0000-000000000000
Norway West,Europe,/subscriptions/00000000-0000-2222-0000-000000000000/locations/norwaywest,58.969975,5.733107,norwaywest,norwayeast,Norway,Other,(Europe) Norway West,Physical,00000000-0000-2222-0000-000000000000
South Africa,,/subscriptions/00000000-0000-2222-0000-000000000000/locations/southafrica,,,southafrica,,,Other,South Africa,Logical,00000000-0000-2222-0000-000000000000
